To_Time,High,Low,Open,Close
2020-01-27 16:00:00,309.81,304.88,309.2,308.96
2020-01-28 10:00:00,314.03,312.1806,312.38,312.97
2020-01-28 10:30:00,313.9965,312.42,313.0,313.57
2020-01-28 11:00:00,315.84,308.95,313.58,315.8127
2020-01-28 11:30:00,316.22,308.95,315.8163,315.9578
2020-01-28 12:00:00,316.78,308.95,315.97,316.5324
2020-01-28 12:30:00,316.94,309.0,316.5599,316.7701
2020-01-28 13:00:00,317.18,316.01,316.7869,316.6895
2020-01-28 13:30:00,316.8,316.11,316.71,316.5705
2020-01-28 14:00:00,316.94,308.95,316.59,316.84
2020-01-28 14:30:00,317.67,308.95,316.84,317.1161
2020-01-28 15:00:00,318.382608,312.5,317.11,318.35
2020-01-28 15:30:00,318.4,309.0,318.3201,317.9984
2020-01-28 16:00:00,318.06,309.9,317.99,317.69
2020-01-29 10:00:00,327.25,322.66,324.52,323.3696
2020-01-29 10:30:00,324.79,321.38,323.3469,324.28
2020-01-29 11:00:00,325.5,317.69,324.28,325.4
2020-01-29 11:30:00,327.0,317.69,325.38,326.8504
2020-01-29 12:00:00,327.8,326.2,326.85,327.15
2020-01-29 12:30:00,327.64,326.53,327.15,326.7518
2020-01-29 13:00:00,327.0,317.69,326.75,326.33
2020-01-29 13:30:00,326.83,325.46,326.34,326.76
2020-01-29 14:00:00,326.92,317.69,326.777,326.67
2020-01-29 14:30:00,327.85,317.69,326.67,326.8
2020-01-29 15:00:00,327.39,324.63,326.8,327.0508
2020-01-29 15:30:00,327.5582,326.2,327.05,327.23
2020-01-29 16:00:00,327.3,321.7,327.22,324.32
2020-01-30 10:00:00,324.09,320.13,320.65,322.38
2020-01-30 10:30:00,324.34,322.0601,322.365,322.64
2020-01-30 11:00:00,324.34,318.78,322.64,318.96
2020-01-30 11:30:00,324.34,318.06,320.0359,321.5
2020-01-30 12:00:00,322.54,320.93,321.5265,321.9341
2020-01-30 12:30:00,322.1,320.83,321.9347,320.88
2020-01-30 13:00:00,324.34,312.0,320.88,320.4291
2020-01-30 13:30:00,324.34,319.31,320.45,319.876
2020-01-30 14:00:00,320.455,319.65,319.87,320.0
2020-01-30 14:30:00,324.34,319.76,320.0,320.5821
2020-01-30 15:00:00,321.88,319.52,320.595,320.9819
2020-01-30 15:30:00,322.33,320.62,320.95,321.798
2020-01-30 16:00:00,323.98,321.56,321.81,323.89
2020-01-31 10:00:00,322.6909,317.04,320.95,318.4
2020-01-31 10:30:00,318.44,315.07,318.36,315.66
2020-01-31 11:00:00,323.87,315.35,315.66,315.8666
2020-01-31 11:30:00,317.19,315.07,315.8472,315.5
2020-01-31 12:00:00,316.81,314.48,315.53,316.768
2020-01-31 12:30:00,316.915,315.64,316.755,316.14
2020-01-31 13:00:00,323.87,314.2,316.14,314.8163
